sku,unit,warehouse,day,document_number,order_qty,prior_orders,prior_window_days,historical_median,threshold_iqr,threshold_8median,reason,excluded_qty,exclusion_status,month,comparable,matches_signed,sales_qty_raw,monthly_matches_signed,review_reason
010300003_,шт,Алматы,2026-01-20,20000005746,46.0,53,180,5.0,42.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,55.0,False,monthly_and_transactions_not_reconciled
010300003_,шт,Алматы,2026-03-20,20000028861,100.0,49,180,5.0,42.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,True,199.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300003_,шт,Алматы,2026-06-05,20000059646,55.0,36,180,3.0,18.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,False,268.0,False,monthly_and_transactions_not_reconciled
010300003_,шт,Алматы,2026-06-17,20000064893,139.0,39,180,4.0,28.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,False,268.0,False,monthly_and_transactions_not_reconciled
010300003_,шт,Алматы,2026-07-09,20000074987,110.0,42,180,5.0,48.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,151.0,False,monthly_and_transactions_not_reconciled
010300004_,шт,Алматы,2025-06-11,20000059929,24.0,15,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,61.0,False,monthly_and_transactions_not_reconciled
010300004_,шт,Алматы,2025-06-17,20000062296,25.0,16,180,2.0,11.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,61.0,False,monthly_and_transactions_not_reconciled
010300004_,шт,Алматы,2025-07-03,20000069718,60.0,23,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,True,61.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300004_,шт,Алматы,2025-08-21,20000090229,24.0,19,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,True,25.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300004_,шт,Алматы,2025-10-03,20000109331,48.0,17,180,2.0,37.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,True,63.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300004_,шт,Алматы,2025-12-12,20000141908,73.0,23,180,3.0,25.5,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,True,77.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300004_,шт,Алматы,2026-09-22,20000111268,47.0,21,180,2.0,17.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-09-01,,,,False,monthly_and_transactions_not_reconciled
010300005_,шт,Алматы,2025-05-21,20000050568,81.0,11,180,4.0,25.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,True,91.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300005_,шт,Алматы,2025-06-11,20000059598,25.0,16,180,3.0,23.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,True,40.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300005_,шт,Алматы,2025-08-14,20000087013,50.0,19,180,3.0,17.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,False,78.0,False,monthly_and_transactions_not_reconciled
010300005_,шт,Алматы,2025-10-08,20000111594,85.0,19,180,3.0,33.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,91.0,False,monthly_and_transactions_not_reconciled
010300005_,шт,Алматы,2025-11-27,20000134272,116.0,22,180,1.5,31.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,151.0,False,monthly_and_transactions_not_reconciled
010300005_,шт,Алматы,2025-12-17,20000143129,304.0,18,180,2.0,46.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,True,336.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300005_,шт,Алматы,2026-04-21,20000040278,62.0,21,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,True,84.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300005_,шт,Алматы,2026-07-02,20000072278,54.0,21,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,138.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300005_,шт,Алматы,2026-07-15,20000077488,84.0,22,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,138.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300005_,шт,Алматы,2026-08-04,20000087330,82.0,20,180,2.0,15.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,94.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2025-04-01,20000030820,120.0,8,180,1.5,25.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,173.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2025-04-07,20000032230,157.0,10,180,3.0,33.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,173.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2025-07-22,20000076962,153.0,25,180,3.0,33.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,True,159.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300006_,шт,Алматы,2025-08-07,20000084265,200.0,25,180,3.0,33.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,True,226.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300006_,шт,Алматы,2025-10-10,20000112979,140.0,23,180,3.0,33.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,156.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2025-11-07,20000124961,72.0,23,180,3.0,45.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,215.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2025-11-10,20000124352,140.0,23,180,4.0,51.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,215.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2026-03-05,20000023216,201.0,25,180,4.0,45.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,False,212.0,False,monthly_and_transactions_not_reconciled
010300006_,шт,Алматы,2026-04-14,20000037506,374.0,24,180,4.0,34.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,True,1596.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300006_,шт,Алматы,2026-04-15,20000038355,1214.0,25,180,4.0,37.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,True,1596.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300006_,шт,Алматы,2026-06-09,20000061370,148.0,21,180,4.0,37.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,True,191.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300006_,шт,Алматы,2026-07-02,20000072278,54.0,24,180,6.5,50.0,52.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,68.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300007_,шт,Алматы,2025-09-04,20000096250,18.0,30,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,True,34.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300007_,шт,Алматы,2026-01-30,20000009964,20.0,21,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,True,24.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300007_,шт,Алматы,2026-03-26,20000029774,32.0,20,180,1.5,14.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,False,57.0,False,monthly_and_transactions_not_reconciled
010300007_,шт,Алматы,2026-08-27,20000098908,48.0,46,180,3.0,21.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,False,88.0,False,monthly_and_transactions_not_reconciled
010300008_,шт,Алматы,2026-04-17,20000039628,20.0,26,180,2.0,12.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,True,33.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300008_,шт,Алматы,2026-08-08,20000089709,40.0,27,180,3.0,13.5,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,True,48.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300009_,шт,Алматы,2025-04-04,20000032459,60.0,16,180,3.0,18.75,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,98.0,False,monthly_and_transactions_not_reconciled
010300009_,шт,Алматы,2025-12-05,20000138536,11.0,50,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,True,22.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300009_,шт,Алматы,2026-07-14,20000077422,10.0,33,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,34.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300009_,шт,Алматы,2026-07-28,20000083269,16.0,34,180,1.0,8.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,34.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300009_,шт,Алматы,2026-08-18,20000094457,10.0,41,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,True,35.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300010_,шт,Алматы,2025-04-04,20000032459,60.0,9,180,2.0,10.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,66.0,False,monthly_and_transactions_not_reconciled
010300010_,шт,Алматы,2025-06-19,20000063210,24.0,13,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,True,29.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300010_,шт,Алматы,2026-01-21,20000006247,16.0,31,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,38.0,False,monthly_and_transactions_not_reconciled
010300010_,шт,Алматы,2026-01-23,20000007195,10.0,33,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,38.0,False,monthly_and_transactions_not_reconciled
010300010_,шт,Алматы,2026-02-05,20000012425,39.0,35,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,False,2.0,False,monthly_and_transactions_not_reconciled
010300010_,шт,Алматы,2026-03-30,20000031099,17.0,35,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,False,41.0,False,monthly_and_transactions_not_reconciled
010300010_,шт,Алматы,2026-04-10,20000036133,30.0,36,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,41.0,False,monthly_and_transactions_not_reconciled
010300011_,шт,Алматы,2025-06-19,20000063210,90.0,34,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,100.0,False,monthly_and_transactions_not_reconciled
010300011_,шт,Алматы,2025-07-15,20000074244,10.0,37,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,False,23.0,False,monthly_and_transactions_not_reconciled
010300011_,шт,Алматы,2025-09-24,20000104991,12.0,37,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,21.0,False,monthly_and_transactions_not_reconciled
010300011_,шт,Алматы,2025-10-04,20000109928,73.0,41,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,True,94.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300011_,шт,Алматы,2026-03-17,20000027404,27.0,41,180,2.0,9.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,True,28.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300011_,шт,Алматы,2026-05-22,20000054138,20.0,30,180,1.0,8.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-05-01,True,False,30.0,False,monthly_and_transactions_not_reconciled
010300012_,шт,Алматы,2025-06-11,20000059934,24.0,10,180,2.5,11.25,20.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,True,29.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300012_,шт,Алматы,2025-12-24,20000146795,18.0,11,180,2.0,11.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,True,19.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300012_,шт,Алматы,2026-05-15,20000050375,39.0,9,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-05-01,True,True,42.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300012_,шт,Алматы,2026-06-19,20000066432,23.0,10,180,1.5,12.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,True,23.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300013_,шт,Алматы,2025-03-12,30000000618,10.0,9,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,35.0,False,monthly_and_transactions_not_reconciled
010300013_,шт,Алматы,2025-03-13,20000024233,9.0,10,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,False,35.0,False,monthly_and_transactions_not_reconciled
010300013_,шт,Алматы,2025-07-08,20000070964,9.0,31,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,True,25.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300013_,шт,Алматы,2025-07-19,20000076284,10.0,32,180,1.0,7.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-07-01,True,True,25.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300013_,шт,Алматы,2025-11-27,20000134325,10.0,31,180,1.0,5.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,25.0,False,monthly_and_transactions_not_reconciled
010300013_,шт,Алматы,2026-01-06,20000000578,15.0,32,180,1.0,9.0,8.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,25.0,False,monthly_and_transactions_not_reconciled
010300013_,шт,Алматы,2026-04-09,20000035428,20.0,32,180,1.5,9.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,True,22.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300013_,шт,Алматы,2026-07-29,20000084559,20.0,28,180,1.5,9.0,12.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,34.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300014_,шт,Алматы,2025-05-26,20000052966,162.0,33,180,5.0,74.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,240.0,False,monthly_and_transactions_not_reconciled
010300014_,шт,Алматы,2025-11-01,20000122484,41.0,55,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,True,114.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300014_,шт,Алматы,2025-11-28,20000134851,50.0,56,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,True,114.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300014_,шт,Алматы,2025-12-09,20000140167,50.0,63,180,2.0,19.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,False,126.0,False,monthly_and_transactions_not_reconciled
010300014_,шт,Алматы,2026-02-04,20000011873,178.0,56,180,2.0,18.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,False,233.0,False,monthly_and_transactions_not_reconciled
010300014_,шт,Алматы,2026-02-04,20000011894,42.0,56,180,2.0,18.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,False,233.0,False,monthly_and_transactions_not_reconciled
010300014_,шт,Алматы,2026-03-13,20000025639,235.0,54,180,2.0,20.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,False,270.0,False,monthly_and_transactions_not_reconciled
010300014_,шт,Алматы,2026-06-26,20000069973,54.0,32,180,3.5,42.0,28.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,True,80.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300014_,шт,Алматы,2026-07-22,20000081583,48.0,36,180,3.5,45.0,28.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,47.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2025-06-13,20000060766,217.0,72,180,6.0,32.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-06-01,True,False,306.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2025-09-29,20000107381,32.0,90,180,4.0,30.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,False,113.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2025-10-17,20000116398,60.0,93,180,3.0,22.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,142.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-01-28,20000009399,64.0,109,180,3.0,17.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-01-01,True,False,101.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-04-22,20000040869,30.0,107,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-04-01,True,False,74.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-05-06,20000047442,22.0,99,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-05-01,True,False,111.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-05-28,20000056092,36.0,96,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-05-01,True,False,111.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-06-23,20000068009,20.0,100,180,2.0,17.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,True,120.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300015_,шт,Алматы,2026-06-30,20000071155,20.0,102,180,2.0,17.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-06-01,True,True,120.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300015_,шт,Алматы,2026-07-03,20000073181,90.0,103,180,2.0,17.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,219.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-07-28,20000084407,72.0,107,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,False,219.0,False,monthly_and_transactions_not_reconciled
010300015_,шт,Алматы,2026-08-06,20000088196,33.0,111,180,2.0,21.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-08-01,True,True,154.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300016_,шт,Алматы,2025-04-08,20000033871,30.0,27,180,2.0,19.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,46.0,False,monthly_and_transactions_not_reconciled
010300016_,шт,Алматы,2025-04-26,20000040969,24.0,32,180,2.0,18.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,46.0,False,monthly_and_transactions_not_reconciled
010300016_,шт,Алматы,2025-11-28,20000134851,20.0,67,180,2.0,13.0,16.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,74.0,False,monthly_and_transactions_not_reconciled
