sku,month,stock_qty_raw,stock_status
030200345,2026-06-01,10.0,observed
030200345,2026-07-01,10.0,observed
030200345,2026-08-01,10.0,observed
030200345,2026-09-01,10.0,observed
030200125_,2024-01-01,,blank
030200125_,2024-02-01,,blank
030200125_,2024-03-01,,blank
030200125_,2024-04-01,,blank
030200125_,2024-05-01,,blank
030200125_,2024-06-01,,blank
030200125_,2024-07-01,,blank
030200125_,2024-08-01,,blank
030200125_,2024-09-01,,blank
030200125_,2024-10-01,,blank
030200125_,2024-11-01,,blank
030200125_,2024-12-01,,blank
030200125_,2025-01-01,,blank
030200125_,2025-02-01,,blank
030200125_,2025-03-01,,blank
030200125_,2025-04-01,,blank
030200125_,2025-05-01,,blank
030200125_,2025-06-01,2.0,observed
030200125_,2025-07-01,3.0,observed
030200125_,2025-08-01,3.0,observed
030200125_,2025-09-01,3.0,observed
030200125_,2025-10-01,3.0,observed
030200125_,2025-11-01,3.0,observed
030200125_,2025-12-01,1.0,observed
030200125_,2026-01-01,,blank
030200125_,2026-02-01,,blank
030200125_,2026-03-01,,blank
030200125_,2026-04-01,,blank
030200125_,2026-05-01,,blank
030200125_,2026-06-01,,blank
030200125_,2026-07-01,,blank
030200125_,2026-08-01,,blank
030200125_,2026-09-01,,blank
030200126_,2024-01-01,,blank
030200126_,2024-02-01,,blank
030200126_,2024-03-01,,blank
030200126_,2024-04-01,,blank
030200126_,2024-05-01,,blank
030200126_,2024-06-01,,blank
030200126_,2024-07-01,,blank
030200126_,2024-08-01,,blank
030200126_,2024-09-01,,blank
030200126_,2024-10-01,,blank
030200126_,2024-11-01,,blank
030200126_,2024-12-01,,blank
030200126_,2025-01-01,,blank
030200126_,2025-02-01,,blank
030200126_,2025-03-01,,blank
030200126_,2025-04-01,,blank
030200126_,2025-05-01,,blank
030200126_,2025-06-01,1.0,observed
030200126_,2025-07-01,1.0,observed
030200126_,2025-08-01,1.0,observed
030200126_,2025-09-01,1.0,observed
030200126_,2025-10-01,1.0,observed
030200126_,2025-11-01,1.0,observed
030200126_,2025-12-01,,blank
030200126_,2026-01-01,,blank
030200126_,2026-02-01,,blank
030200126_,2026-03-01,,blank
030200126_,2026-04-01,,blank
030200126_,2026-05-01,,blank
030200126_,2026-06-01,,blank
030200126_,2026-07-01,,blank
030200126_,2026-08-01,,blank
030200126_,2026-09-01,,blank
030200127_,2024-01-01,1.0,observed
030200127_,2024-02-01,1.0,observed
030200127_,2024-03-01,1.0,observed
030200127_,2024-04-01,1.0,observed
030200127_,2024-05-01,1.0,observed
030200127_,2024-06-01,1.0,observed
030200127_,2024-07-01,1.0,observed
030200127_,2024-08-01,1.0,observed
030200127_,2024-09-01,1.0,observed
030200127_,2024-10-01,1.0,observed
030200127_,2024-11-01,1.0,observed
030200127_,2024-12-01,1.0,observed
030200127_,2025-01-01,1.0,observed
030200127_,2025-02-01,1.0,observed
030200127_,2025-03-01,1.0,observed
030200127_,2025-04-01,1.0,observed
030200127_,2025-05-01,1.0,observed
030200127_,2025-06-01,6.0,observed
030200127_,2025-07-01,6.0,observed
030200127_,2025-08-01,6.0,observed
030200127_,2025-09-01,6.0,observed
030200127_,2025-10-01,6.0,observed
030200127_,2025-11-01,2.0,observed
030200127_,2025-12-01,,blank
030200127_,2026-01-01,,blank
030200127_,2026-02-01,,blank
030200127_,2026-03-01,,blank
030200127_,2026-04-01,,blank
030200127_,2026-05-01,,blank
030200127_,2026-06-01,,blank
030200127_,2026-07-01,,blank
030200127_,2026-08-01,,blank
030200127_,2026-09-01,,blank
030200141_,2024-01-01,2.0,observed
030200141_,2024-02-01,2.0,observed
030200141_,2024-03-01,2.0,observed
030200141_,2024-04-01,2.0,observed
030200141_,2024-05-01,2.0,observed
030200141_,2024-06-01,2.0,observed
030200141_,2024-07-01,2.0,observed
030200141_,2024-08-01,2.0,observed
030200141_,2024-09-01,2.0,observed
030200141_,2024-10-01,2.0,observed
030200141_,2024-11-01,2.0,observed
030200141_,2024-12-01,2.0,observed
030200141_,2025-01-01,2.0,observed
030200141_,2025-02-01,2.0,observed
030200141_,2025-03-01,2.0,observed
030200141_,2025-04-01,2.0,observed
030200141_,2025-05-01,2.0,observed
030200141_,2025-06-01,18.0,observed
030200141_,2025-07-01,18.0,observed
030200141_,2025-08-01,18.0,observed
030200141_,2025-09-01,18.0,observed
030200141_,2025-10-01,18.0,observed
030200141_,2025-11-01,18.0,observed
030200141_,2025-12-01,,blank
030200141_,2026-01-01,16.0,observed
030200141_,2026-02-01,14.0,observed
030200141_,2026-03-01,,blank
030200141_,2026-04-01,,blank
030200141_,2026-05-01,,blank
030200141_,2026-06-01,,blank
030200141_,2026-07-01,,blank
030200141_,2026-08-01,,blank
030200141_,2026-09-01,,blank
030200096_,2024-01-01,4.0,observed
030200096_,2024-02-01,4.0,observed
030200096_,2024-03-01,2.0,observed
030200096_,2024-04-01,2.0,observed
030200096_,2024-05-01,2.0,observed
030200096_,2024-06-01,2.0,observed
030200096_,2024-07-01,2.0,observed
030200096_,2024-08-01,123.0,observed
030200096_,2024-09-01,123.0,observed
030200096_,2024-10-01,123.0,observed
030200096_,2024-11-01,123.0,observed
030200096_,2024-12-01,123.0,observed
030200096_,2025-01-01,123.0,observed
030200096_,2025-02-01,123.0,observed
030200096_,2025-03-01,123.0,observed
030200096_,2025-04-01,123.0,observed
030200096_,2025-05-01,123.0,observed
030200096_,2025-06-01,123.0,observed
030200096_,2025-07-01,123.0,observed
030200096_,2025-08-01,3.0,observed
030200096_,2025-09-01,3.0,observed
030200096_,2025-10-01,3.0,observed
030200096_,2025-11-01,3.0,observed
030200096_,2025-12-01,1.0,observed
030200096_,2026-01-01,,blank
030200096_,2026-02-01,,blank
030200096_,2026-03-01,,blank
030200096_,2026-04-01,,blank
030200096_,2026-05-01,,blank
030200096_,2026-06-01,,blank
030200096_,2026-07-01,,blank
030200096_,2026-08-01,,blank
030200096_,2026-09-01,,blank
030200072_,2024-01-01,128.0,observed
030200072_,2024-02-01,126.0,observed
030200072_,2024-03-01,123.0,observed
030200072_,2024-04-01,121.0,observed
030200072_,2024-05-01,115.0,observed
030200072_,2024-06-01,89.0,observed
030200072_,2024-07-01,88.0,observed
030200072_,2024-08-01,1182.0,observed
030200072_,2024-09-01,1182.0,observed
030200072_,2024-10-01,1182.0,observed
030200072_,2024-11-01,1182.0,observed
030200072_,2024-12-01,1182.0,observed
030200072_,2025-01-01,1182.0,observed
030200072_,2025-02-01,1175.0,observed
030200072_,2025-03-01,1175.0,observed
030200072_,2025-04-01,1175.0,observed
030200072_,2025-05-01,1175.0,observed
030200072_,2025-06-01,1232.0,observed
030200072_,2025-07-01,1308.0,observed
030200072_,2025-08-01,1308.0,observed
030200072_,2025-09-01,1289.0,observed
030200072_,2025-10-01,1272.0,observed
030200072_,2025-11-01,1256.0,observed
030200072_,2025-12-01,1252.0,observed
030200072_,2026-01-01,24.0,observed
030200072_,2026-02-01,24.0,observed
030200072_,2026-03-01,24.0,observed
030200072_,2026-04-01,24.0,observed
030200072_,2026-05-01,23.0,observed
030200072_,2026-06-01,3.0,observed
030200072_,2026-07-01,3.0,observed
030200072_,2026-08-01,3.0,observed
030200072_,2026-09-01,3.0,observed
030200093_,2024-01-01,208.0,observed
030200093_,2024-02-01,174.0,observed
030200093_,2024-03-01,152.0,observed
030200093_,2024-04-01,150.0,observed
030200093_,2024-05-01,150.0,observed
030200093_,2024-06-01,148.0,observed
030200093_,2024-07-01,81.0,observed
030200093_,2024-08-01,1046.0,observed
030200093_,2024-09-01,1030.0,observed
030200093_,2024-10-01,1030.0,observed
030200093_,2024-11-01,1030.0,observed
030200093_,2024-12-01,1030.0,observed
030200093_,2025-01-01,1022.0,observed
030200093_,2025-02-01,1021.0,observed
030200093_,2025-03-01,1021.0,observed
030200093_,2025-04-01,1021.0,observed
030200093_,2025-05-01,1021.0,observed
030200093_,2025-06-01,1248.0,observed
030200093_,2025-07-01,1331.0,observed
030200093_,2025-08-01,1331.0,observed
030200093_,2025-09-01,1331.0,observed
030200093_,2025-10-01,1330.0,observed
030200093_,2025-11-01,1330.0,observed
030200093_,2025-12-01,1288.0,observed
030200093_,2026-01-01,336.0,observed
030200093_,2026-02-01,56.0,observed
030200093_,2026-03-01,22.0,observed
030200093_,2026-04-01,12.0,observed
030200093_,2026-05-01,3.0,observed
030200093_,2026-06-01,3.0,observed
030200093_,2026-07-01,3.0,observed
030200093_,2026-08-01,3.0,observed
030200093_,2026-09-01,3.0,observed
030200135_,2024-01-01,208.0,observed
030200135_,2024-02-01,208.0,observed
030200135_,2024-03-01,205.0,observed
030200135_,2024-04-01,200.0,observed
030200135_,2024-05-01,199.0,observed
030200135_,2024-06-01,172.0,observed
030200135_,2024-07-01,172.0,observed
030200135_,2024-08-01,172.0,observed
030200135_,2024-09-01,172.0,observed
030200135_,2024-10-01,172.0,observed
030200135_,2024-11-01,172.0,observed
030200135_,2024-12-01,172.0,observed
030200135_,2025-01-01,147.0,observed
030200135_,2025-02-01,147.0,observed
030200135_,2025-03-01,147.0,observed
030200135_,2025-04-01,147.0,observed
030200135_,2025-05-01,147.0,observed
030200135_,2025-06-01,243.0,observed
030200135_,2025-07-01,250.0,observed
030200135_,2025-08-01,249.0,observed
030200135_,2025-09-01,249.0,observed
030200135_,2025-10-01,247.0,observed
030200135_,2025-11-01,247.0,observed
030200135_,2025-12-01,244.0,observed
030200135_,2026-01-01,206.0,observed
030200135_,2026-02-01,204.0,observed
030200135_,2026-03-01,188.0,observed
030200135_,2026-04-01,167.0,observed
030200135_,2026-05-01,154.0,observed
030200135_,2026-06-01,106.0,observed
030200135_,2026-07-01,63.0,observed
030200135_,2026-08-01,17.0,observed
030200135_,2026-09-01,,blank
030200136_,2024-01-01,71.0,observed
030200136_,2024-02-01,51.0,observed
030200136_,2024-03-01,48.0,observed
030200136_,2024-04-01,48.0,observed
030200136_,2024-05-01,46.0,observed
030200136_,2024-06-01,40.0,observed
030200136_,2024-07-01,20.0,observed
030200136_,2024-08-01,203.0,observed
030200136_,2024-09-01,203.0,observed
030200136_,2024-10-01,203.0,observed
030200136_,2024-11-01,203.0,observed
030200136_,2024-12-01,203.0,observed
030200136_,2025-01-01,200.0,observed
030200136_,2025-02-01,200.0,observed
030200136_,2025-03-01,200.0,observed
030200136_,2025-04-01,200.0,observed
030200136_,2025-05-01,199.0,observed
030200136_,2025-06-01,305.0,observed
030200136_,2025-07-01,454.0,observed
030200136_,2025-08-01,494.0,observed
030200136_,2025-09-01,492.0,observed
030200136_,2025-10-01,471.0,observed
030200136_,2025-11-01,475.0,observed
030200136_,2025-12-01,473.0,observed
030200136_,2026-01-01,219.0,observed
030200136_,2026-02-01,136.0,observed
030200136_,2026-03-01,130.0,observed
030200136_,2026-04-01,125.0,observed
030200136_,2026-05-01,90.0,observed
030200136_,2026-06-01,78.0,observed
030200136_,2026-07-01,55.0,observed
030200136_,2026-08-01,55.0,observed
030200136_,2026-09-01,30.0,observed
030200134_,2024-01-01,1073.0,observed
030200134_,2024-02-01,1063.0,observed
030200134_,2024-03-01,1061.0,observed
030200134_,2024-04-01,1061.0,observed
030200134_,2024-05-01,1061.0,observed
030200134_,2024-06-01,1061.0,observed
030200134_,2024-07-01,1061.0,observed
030200134_,2024-08-01,1204.0,observed
030200134_,2024-09-01,1199.0,observed
030200134_,2024-10-01,1198.0,observed
030200134_,2024-11-01,1198.0,observed
030200134_,2024-12-01,1198.0,observed
030200134_,2025-01-01,1232.0,observed
030200134_,2025-02-01,1232.0,observed
030200134_,2025-03-01,1232.0,observed
030200134_,2025-04-01,1232.0,observed
030200134_,2025-05-01,1232.0,observed
030200134_,2025-06-01,1274.0,observed
030200134_,2025-07-01,1274.0,observed
030200134_,2025-08-01,1274.0,observed
030200134_,2025-09-01,1272.0,observed
030200134_,2025-10-01,1272.0,observed
030200134_,2025-11-01,1272.0,observed
030200134_,2025-12-01,1271.0,observed
030200134_,2026-01-01,1080.0,observed
030200134_,2026-02-01,1076.0,observed
030200134_,2026-03-01,1055.0,observed
030200134_,2026-04-01,1055.0,observed
030200134_,2026-05-01,972.0,observed
030200134_,2026-06-01,936.0,observed
030200134_,2026-07-01,925.0,observed
030200134_,2026-08-01,898.0,observed
030200134_,2026-09-01,868.0,observed
030200094_,2024-01-01,9.0,observed
030200094_,2024-02-01,9.0,observed
030200094_,2024-03-01,9.0,observed
030200094_,2024-04-01,9.0,observed
030200094_,2024-05-01,9.0,observed
030200094_,2024-06-01,9.0,observed
030200094_,2024-07-01,7.0,observed
030200094_,2024-08-01,7.0,observed
030200094_,2024-09-01,7.0,observed
030200094_,2024-10-01,6.0,observed
030200094_,2024-11-01,6.0,observed
030200094_,2024-12-01,6.0,observed
030200094_,2025-01-01,6.0,observed
030200094_,2025-02-01,6.0,observed
030200094_,2025-03-01,6.0,observed
030200094_,2025-04-01,6.0,observed
030200094_,2025-05-01,6.0,observed
030200094_,2025-06-01,16.0,observed
030200094_,2025-07-01,16.0,observed
030200094_,2025-08-01,16.0,observed
030200094_,2025-09-01,16.0,observed
030200094_,2025-10-01,16.0,observed
030200094_,2025-11-01,16.0,observed
030200094_,2025-12-01,,blank
030200094_,2026-01-01,,blank
030200094_,2026-02-01,,blank
030200094_,2026-03-01,,blank
030200094_,2026-04-01,,blank
030200094_,2026-05-01,,blank
030200094_,2026-06-01,,blank
030200094_,2026-07-01,,blank
030200094_,2026-08-01,,blank
030200094_,2026-09-01,,blank
030200090_,2024-01-01,1.0,observed
030200090_,2024-02-01,1.0,observed
030200090_,2024-03-01,1.0,observed
030200090_,2024-04-01,1.0,observed
030200090_,2024-05-01,1.0,observed
030200090_,2024-06-01,1.0,observed
030200090_,2024-07-01,1.0,observed
030200090_,2024-08-01,5.0,observed
030200090_,2024-09-01,5.0,observed
030200090_,2024-10-01,5.0,observed
030200090_,2024-11-01,5.0,observed
030200090_,2024-12-01,5.0,observed
030200090_,2025-01-01,5.0,observed
030200090_,2025-02-01,1.0,observed
030200090_,2025-03-01,1.0,observed
030200090_,2025-04-01,1.0,observed
030200090_,2025-05-01,1.0,observed
030200090_,2025-06-01,2.0,observed
030200090_,2025-07-01,5.0,observed
030200090_,2025-08-01,5.0,observed
030200090_,2025-09-01,5.0,observed
030200090_,2025-10-01,5.0,observed
030200090_,2025-11-01,5.0,observed
030200090_,2025-12-01,,blank
030200090_,2026-01-01,,blank
030200090_,2026-02-01,,blank
030200090_,2026-03-01,,blank
030200090_,2026-04-01,,blank
030200090_,2026-05-01,,blank
030200090_,2026-06-01,,blank
030200090_,2026-07-01,,blank
030200090_,2026-08-01,,blank
030200090_,2026-09-01,,blank
030200129_,2024-01-01,,blank
030200129_,2024-02-01,,blank
030200129_,2024-03-01,,blank
030200129_,2024-04-01,,blank
030200129_,2024-05-01,,blank
030200129_,2024-06-01,,blank
030200129_,2024-07-01,,blank
030200129_,2024-08-01,,blank
030200129_,2024-09-01,,blank
030200129_,2024-10-01,,blank
030200129_,2024-11-01,,blank
030200129_,2024-12-01,,blank
030200129_,2025-01-01,,blank
030200129_,2025-02-01,,blank
030200129_,2025-03-01,,blank
030200129_,2025-04-01,,blank
030200129_,2025-05-01,,blank
030200129_,2025-06-01,2.0,observed
030200129_,2025-07-01,2.0,observed
030200129_,2025-08-01,2.0,observed
030200129_,2025-09-01,2.0,observed
030200129_,2025-10-01,2.0,observed
030200129_,2025-11-01,2.0,observed
030200129_,2025-12-01,,blank
030200129_,2026-01-01,,blank
030200129_,2026-02-01,,blank
030200129_,2026-03-01,,blank
030200129_,2026-04-01,,blank
030200129_,2026-05-01,,blank
030200129_,2026-06-01,,blank
030200129_,2026-07-01,,blank
030200129_,2026-08-01,,blank
030200129_,2026-09-01,,blank
030200095_,2024-01-01,5.0,observed
030200095_,2024-02-01,5.0,observed
030200095_,2024-03-01,5.0,observed
030200095_,2024-04-01,5.0,observed
030200095_,2024-05-01,5.0,observed
030200095_,2024-06-01,5.0,observed
030200095_,2024-07-01,5.0,observed
030200095_,2024-08-01,5.0,observed
030200095_,2024-09-01,5.0,observed
030200095_,2024-10-01,5.0,observed
030200095_,2024-11-01,5.0,observed
030200095_,2024-12-01,5.0,observed
030200095_,2025-01-01,5.0,observed
030200095_,2025-02-01,5.0,observed
030200095_,2025-03-01,5.0,observed
030200095_,2025-04-01,5.0,observed
030200095_,2025-05-01,5.0,observed
030200095_,2025-06-01,5.0,observed
030200095_,2025-07-01,6.0,observed
030200095_,2025-08-01,6.0,observed
030200095_,2025-09-01,4.0,observed
030200095_,2025-10-01,4.0,observed
030200095_,2025-11-01,4.0,observed
030200095_,2025-12-01,,blank
030200095_,2026-01-01,,blank
030200095_,2026-02-01,,blank
030200095_,2026-03-01,,blank
030200095_,2026-04-01,,blank
030200095_,2026-05-01,,blank
030200095_,2026-06-01,,blank
030200095_,2026-07-01,,blank
030200095_,2026-08-01,,blank
030200095_,2026-09-01,,blank
030200142_,2024-01-01,56.0,observed
030200142_,2024-02-01,53.0,observed
030200142_,2024-03-01,53.0,observed
030200142_,2024-04-01,53.0,observed
030200142_,2024-05-01,52.0,observed
030200142_,2024-06-01,52.0,observed
030200142_,2024-07-01,24.0,observed
030200142_,2024-08-01,24.0,observed
030200142_,2024-09-01,22.0,observed
030200142_,2024-10-01,22.0,observed
030200142_,2024-11-01,22.0,observed
030200142_,2024-12-01,22.0,observed
030200142_,2025-01-01,20.0,observed
030200142_,2025-02-01,20.0,observed
030200142_,2025-03-01,20.0,observed
030200142_,2025-04-01,20.0,observed
030200142_,2025-05-01,20.0,observed
030200142_,2025-06-01,20.0,observed
030200142_,2025-07-01,30.0,observed
030200142_,2025-08-01,30.0,observed
030200142_,2025-09-01,30.0,observed
030200142_,2025-10-01,30.0,observed
030200142_,2025-11-01,30.0,observed
030200142_,2025-12-01,22.0,observed
030200142_,2026-01-01,22.0,observed
030200142_,2026-02-01,22.0,observed
030200142_,2026-03-01,21.0,observed
030200142_,2026-04-01,21.0,observed
030200142_,2026-05-01,20.0,observed
030200142_,2026-06-01,20.0,observed
030200142_,2026-07-01,20.0,observed
030200142_,2026-08-01,20.0,observed
030200142_,2026-09-01,20.0,observed
030200143_,2024-01-01,,blank
030200143_,2024-02-01,,blank
030200143_,2024-03-01,,blank
030200143_,2024-04-01,,blank
030200143_,2024-05-01,,blank
030200143_,2024-06-01,,blank
030200143_,2024-07-01,,blank
030200143_,2024-08-01,,blank
030200143_,2024-09-01,,blank
030200143_,2024-10-01,,blank
030200143_,2024-11-01,,blank
030200143_,2024-12-01,,blank
030200143_,2025-01-01,,blank
030200143_,2025-02-01,,blank
030200143_,2025-03-01,,blank
030200143_,2025-04-01,,blank
030200143_,2025-05-01,,blank
030200143_,2025-06-01,13.0,observed
030200143_,2025-07-01,13.0,observed
030200143_,2025-08-01,13.0,observed
030200143_,2025-09-01,13.0,observed
030200143_,2025-10-01,13.0,observed
030200143_,2025-11-01,13.0,observed
030200143_,2025-12-01,,blank
030200143_,2026-01-01,,blank
030200143_,2026-02-01,,blank
030200143_,2026-03-01,,blank
030200143_,2026-04-01,,blank
030200143_,2026-05-01,,blank
030200143_,2026-06-01,,blank
030200143_,2026-07-01,,blank
030200143_,2026-08-01,,blank
030200143_,2026-09-01,,blank
300100018_,2024-01-01,5.0,observed
300100018_,2024-02-01,5.0,observed
300100018_,2024-03-01,5.0,observed
300100018_,2024-04-01,5.0,observed
300100018_,2024-05-01,5.0,observed
300100018_,2024-06-01,5.0,observed
300100018_,2024-07-01,5.0,observed
300100018_,2024-08-01,5.0,observed
300100018_,2024-09-01,5.0,observed
300100018_,2024-10-01,5.0,observed
300100018_,2024-11-01,5.0,observed
300100018_,2024-12-01,5.0,observed
300100018_,2025-01-01,9.0,observed
300100018_,2025-02-01,9.0,observed
