sku,shipment,eta,qty_raw,quantity_status,source_as_of,unit_conversion_confirmed
010700003_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,120.0,observed,2026-09-22,False
010700002_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,320.0,observed,2026-09-22,False
010700103_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
010800009_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3.0,observed,2026-09-22,False
010800018_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
010800010_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,50.0,observed,2026-09-22,False
010800011_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,50.0,observed,2026-09-22,False
010800015_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
010800016_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,30.0,observed,2026-09-22,False
010800017_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
010800001_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,50.0,observed,2026-09-22,False
010800002_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
010800033_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,8.0,observed,2026-09-22,False
010800027_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,16.0,observed,2026-09-22,False
010800003_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,48.0,observed,2026-09-22,False
010800035_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,30.0,observed,2026-09-22,False
010800012_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,18.0,observed,2026-09-22,False
010800004_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,30.0,observed,2026-09-22,False
010800005_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,24.0,observed,2026-09-22,False
010300075_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,600.0,observed,2026-09-22,False
010300095_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,360.0,observed,2026-09-22,False
010300001_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
010300123_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
010300007_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,32.0,observed,2026-09-22,False
010300124_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3.0,observed,2026-09-22,False
010300009_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,24.0,observed,2026-09-22,False
010300011_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,24.0,observed,2026-09-22,False
010300014_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,96.0,observed,2026-09-22,False
010300015_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,192.0,observed,2026-09-22,False
010300057_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,144.0,observed,2026-09-22,False
120100001_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
120100033_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
120100004_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
120100030_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,100.0,observed,2026-09-22,False
120100013_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
120100118_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3.0,observed,2026-09-22,False
120100016_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
120100081_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,16.0,observed,2026-09-22,False
130300103_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,50.0,observed,2026-09-22,False
130300152_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,50.0,observed,2026-09-22,False
120100055_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,30.0,observed,2026-09-22,False
120100045_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2.0,observed,2026-09-22,False
120100057_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
120100010_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2.0,observed,2026-09-22,False
120100122_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1.0,observed,2026-09-22,False
120100043_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4.0,observed,2026-09-22,False
120100085_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,4.0,observed,2026-09-22,False
120100088_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,2.0,observed,2026-09-22,False
120100047_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4.0,observed,2026-09-22,False
120100086_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,2.0,observed,2026-09-22,False
120100089_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,3.0,observed,2026-09-22,False
120100050_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,1.0,observed,2026-09-22,False
120100072_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4.0,observed,2026-09-22,False
080800071_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
080800072_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
130900001_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
130900031_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
130900008_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
130300154_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,80.0,observed,2026-09-22,False
130900020_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
130900019_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
130900006_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
130600128_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,6.0,observed,2026-09-22,False
130600137_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
130600138_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,6.0,observed,2026-09-22,False
130600068_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
130300555_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
130600079_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
130600031_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,15.0,observed,2026-09-22,False
130600023_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
130200128_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
130300220_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,60.0,observed,2026-09-22,False
130300221_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,20.0,observed,2026-09-22,False
114001010_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3.0,observed,2026-09-22,False
270300001_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4.0,observed,2026-09-22,False
200400026_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,720.0,observed,2026-09-22,False
200400030_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
200400027_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,250.0,observed,2026-09-22,False
200400028_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,100.0,observed,2026-09-22,False
020100004_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,20.0,observed,2026-09-22,False
020100006_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,60.0,observed,2026-09-22,False
020100012_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
020100020_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,30.0,observed,2026-09-22,False
290100004_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
290200006_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2.0,observed,2026-09-22,False
280100007_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,500.0,observed,2026-09-22,False
280100011_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,72.0,observed,2026-09-22,False
280100012_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,540.0,observed,2026-09-22,False
280100013_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,12.0,observed,2026-09-22,False
280100001_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,32.0,observed,2026-09-22,False
280100002_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,360.0,observed,2026-09-22,False
280100020_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,180.0,observed,2026-09-22,False
280200087_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
280200108_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
280200085_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
280200042_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,20.0,observed,2026-09-22,False
280200109_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,16.0,observed,2026-09-22,False
280200037_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,20.0,observed,2026-09-22,False
280200037_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,10.0,observed,2026-09-22,False
280200049_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,15.0,observed,2026-09-22,False
280200054_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,20.0,observed,2026-09-22,False
280200057_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,15.0,observed,2026-09-22,False
280200083_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,25.0,observed,2026-09-22,False
280200065_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,30.0,observed,2026-09-22,False
280200059_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,52.0,observed,2026-09-22,False
280200084_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,15.0,observed,2026-09-22,False
130300779_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,2000.0,observed,2026-09-22,False
130300771_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1500.0,observed,2026-09-22,False
280300013_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,252.0,observed,2026-09-22,False
280300030_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,180.0,observed,2026-09-22,False
280300084_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,180.0,observed,2026-09-22,False
280100103_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,546.0,observed,2026-09-22,False
130200134_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,60.0,observed,2026-09-22,False
130200136_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,40.0,observed,2026-09-22,False
130200135_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,40.0,observed,2026-09-22,False
130200125_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,20.0,observed,2026-09-22,False
130200126_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
130200089_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,60.0,observed,2026-09-22,False
130200120_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,80.0,observed,2026-09-22,False
130200122_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,120.0,observed,2026-09-22,False
130200123_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,260.0,observed,2026-09-22,False
130200124_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,160.0,observed,2026-09-22,False
130200015_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,80.0,observed,2026-09-22,False
130200013_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
130200036_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,500.0,observed,2026-09-22,False
240300035_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
240300027_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
240300033_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
240300051_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
240300034_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,5.0,observed,2026-09-22,False
240300052_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,4.0,observed,2026-09-22,False
240300054_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3.0,observed,2026-09-22,False
240300055_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,5.0,observed,2026-09-22,False
240300057_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,1.0,observed,2026-09-22,False
240300059_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,2.0,observed,2026-09-22,False
240300056_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,1.0,observed,2026-09-22,False
240300014_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3.0,observed,2026-09-22,False
240300015_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
240300018_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2.0,observed,2026-09-22,False
260100153_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1600.0,observed,2026-09-22,False
260100165_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,6600.0,observed,2026-09-22,False
260100167_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,3600.0,observed,2026-09-22,False
260100158_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,1100.0,observed,2026-09-22,False
260100158_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4000.0,observed,2026-09-22,False
260100168_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,3000.0,observed,2026-09-22,False
260100140_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1950.0,observed,2026-09-22,False
260100157_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1200.0,observed,2026-09-22,False
260100155_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,900.0,observed,2026-09-22,False
260100172_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,660.0,observed,2026-09-22,False
260100172_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,140.0,observed,2026-09-22,False
260100154_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,600.0,observed,2026-09-22,False
130300518_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
130300519_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
130300524_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,40.0,observed,2026-09-22,False
130300532_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,30.0,observed,2026-09-22,False
130300533_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
130301073_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,120.0,observed,2026-09-22,False
130300537_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,80.0,observed,2026-09-22,False
130301101_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,350.0,observed,2026-09-22,False
130300526_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,560.0,observed,2026-09-22,False
130300527_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,288.0,observed,2026-09-22,False
130300535_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
130300883_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
130300471_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,4.0,observed,2026-09-22,False
130300529_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,50.0,observed,2026-09-22,False
240100005_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,200.0,observed,2026-09-22,False
240100053_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-10-15,507.0,observed,2026-09-22,False
240100053_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,293.0,observed,2026-09-22,False
240100006_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,100.0,observed,2026-09-22,False
240100094_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,300.0,observed,2026-09-22,False
130200183_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2.0,observed,2026-09-22,False
130300292_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,5.0,observed,2026-09-22,False
130301097_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
151000369_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
151000691_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,10.0,observed,2026-09-22,False
130300102_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,20.0,observed,2026-09-22,False
250200010_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4.0,observed,2026-09-22,False
250200044_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,2.0,observed,2026-09-22,False
250200012_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,3.0,observed,2026-09-22,False
250200047_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,3.0,observed,2026-09-22,False
250200052_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,6.0,observed,2026-09-22,False
250200017_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
250200018_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,7.0,observed,2026-09-22,False
250200019_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
250200031_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1.0,observed,2026-09-22,False
250200027_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,4.0,observed,2026-09-22,False
250200006_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
250600003_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
250600008_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,10.0,observed,2026-09-22,False
250600009_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,20.0,observed,2026-09-22,False
250600131_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,6.0,observed,2026-09-22,False
ст-9948468,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,24.0,observed,2026-09-22,False
280100123_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,72.0,observed,2026-09-22,False
ярп40257,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,100.0,observed,2026-09-22,False
280300645_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,100.0,observed,2026-09-22,False
130301257_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,5.0,observed,2026-09-22,False
240100054_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,600.0,observed,2026-09-22,False
